timestamp,temperature,humidity,light,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2026-08-17 22:13:05,30.8,79.0,1,-4896,884,14932,705,-568,-502
2026-08-17 22:13:07,30.8,79.0,1,-4548,1116,15020,-197,-47,288
2026-08-17 22:13:09,30.8,79.0,1,-4508,1096,14876,-48,-22,-80
2026-08-17 22:13:11,30.8,79.0,1,-4456,1164,14820,-80,-9,-228
2026-08-17 22:13:13,30.8,79.0,1,-4596,880,15044,278,243,-111
2026-08-17 22:13:15,30.8,79.0,1,-4468,828,14964,-94,62,30
2026-08-18 00:04:34,30.8,77.0,1,3376,-4968,15400,-186,-741,-270
2026-08-18 00:04:36,30.8,77.0,1,5312,-5288,14052,-510,464,-20
2026-08-18 00:04:39,30.8,77.0,1,5044,-5472,14036,-419,205,-481
2026-08-18 00:04:41,30.8,77.0,1,5084,-5668,13836,-207,181,-20
2026-08-18 00:09:29,3.3333333333333335e+21,78.0,1,1552,-1784,14948,785,-1307,-507
2026-08-18 00:09:35,30.8,78.0,1,-968,-4604,14584,-509,-319,750
2026-08-18 00:09:37,30.8,77.0,1,-788,-7776,13516,23,749,400
2026-08-18 00:15:11,30.8,78.0,1,724,-6364,14476,-413,-60,46
2026-08-18 00:15:13,30.8,78.0,1,272,-4656,14800,2229,-315,481
2026-08-18 00:15:15,30.8,78.0,1,36,-5956,14600,-183,54,18
2026-08-18 00:15:17,30.8,78.0,1,0,-6136,14424,-47,-28,-20
2026-08-18 00:15:19,30.8,78.0,1,252,-6368,14460,385,-322,-241
2026-08-18 00:17:59,30.8,78.0,1,3564,-6680,13736,-16,733,501
2026-08-18 00:18:01,30.8,78.0,1,3288,-6384,14088,262,-57,-219
2026-08-18 00:18:40,30.8,78.0,1,-276,-7992,13688,-245,133,251
2026-08-18 00:18:42,30.8,78.0,1,-592,-8172,13640,-64,-118,-107
2026-08-18 00:52:59,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:01,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:04,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:06,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:08,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:10,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:12,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:14,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:16,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:18,30.2,79.0,1,0,0,0,0,0,0
2026-08-18 00:53:20,30.2,79.0,0,0,0,0,0,0,0
2026-08-18 00:53:22,30.2,78.0,0,0,0,0,0,0,0
2026-08-18 00:53:24,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:26,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:28,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:30,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:32,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:34,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:36,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:38,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:40,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:42,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:44,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:46,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:48,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:50,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:52,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:54,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:56,30.2,78.0,1,0,0,0,0,0,0
2026-08-18 00:53:58,30.2,78.0,1,0,0,0,0,0,0
